Video_AD_Ratio,Video_AD_Spend_Ratio,Optimal_Video_AD_Ratio,Optimal_AD_Volume_Ratio,Ad_Creation_Volume,Ad_Creative_Fatigue,Video_Ad_Creative_Fatigue,Top_Ad_Performance,Top_Video_Ad_Performance
0.25,0.61,0.11,0.03,100,0,0,0.106,0.0807
0.42,0.07,0.16,0.03,100,1.8905,1.583,0.0768,0.1203
0.2,0.07,0.21,0.07,99,0.2612,3.4399,0.0102,0.1003
0.04,0.06,0.12,0.07,100,2.8667,2.8667,0.16,0.1575
0.03,0.06,0.05,0.06,100,0,2.8667,0.1725,0.1509
0.26,0.06,0.12,0.07,90,2.3531,0.932,0.1765,0.1198
0.15,0.51,0.01,0.08,100,7.7309,1.8511,0.0826,0.1114
0.05,0.06,0.04,0.03,100,2.8667,2.8667,0.16,0.1499
0.04,0.06,0.09,0.09,100,4.2718,1.3304,0.0461,0.1405
0.1,0.65,0.1,0.09,100,1.1282,2.8048,0.0738,0.0839
0.2,0.06,0.02,0.05,100,4.5379,2.7185,0.2708,0.1036
0.08,0.06,0.02,0.01,92,3.0394,1.698,0.1195,0.1246
0.04,0.05,0.06,0.05,100,11.4667,2.8667,0.165,0.1595
0.04,0.05,0.09,0.05,100,2.8667,2.8667,0.16,0.1595
0.21,0.05,0.25,0.08,100,8.6,2.8667,0.16,0.1244
0.04,0.05,0.04,0.04,100,0,0,0.1657,0.1566
0.06,0.05,0.03,0.02,100,2.8667,0,0.1283,0.1413
0.06,0.05,0.03,0.03,100,0,0,0.1565,0.1123
0.16,0.05,0.1,0.04,100,0.8417,3.2862,0.0189,0.0829
0.05,0.05,0.1,0.03,99,5.2798,1.9035,0.2516,0.1655
0.15,0.05,0.17,0.04,100,6.6923,1.3716,0.131,0.1705
0.08,0.05,0.15,0.08,100,0.4664,3.216,0.0868,0.1639
0.1,0.05,0.05,0.06,99,3.6494,6.4723,0.0452,0.1157
0.19,0.04,0.2,0.07,100,0,0,0.1658,0.1549
0.05,0.04,0.27,0.08,100,0,2.8667,0.1633,0.1586
0.04,0.04,0.06,0.05,100,0,0,0.1633,0.1566
0.3,0.48,0.12,0.02,100,3.3161,2.5599,0.2414,0.1083
0.04,0.04,0.11,0.06,100,0,5.7333,0.1645,0.1559
0.23,0.04,0.22,0.04,100,0,5.7333,0.1655,0.156
0.21,0.04,0.22,0.04,100,0,2.8667,0.121,0.156
0.15,0.04,0.03,0.04,85,5.7939,2.325,0.1834,0.1777
0.23,0.04,0.09,0.06,99,6.006,2.3075,0.1073,0.0254
0.15,0.04,0.09,0.01,90,1.0913,0.0808,0.1214,0.1729
0.12,0.03,0.09,0.04,100,2.8667,0,0.1418,0.1068
0.18,0.03,0.25,0.1,100,5.7333,0,0.1594,0.112
0.04,0.03,0.07,0.04,100,17.2,0,0.1653,0.1101
0.03,0.03,0.1,0.05,100,2.8667,0,0.0594,0.1268
0.03,0.03,0.05,0.06,100,2.8667,2.8667,0.16,0.1362
0.19,0.55,0.14,0.02,100,0.5977,1.105,0.0692,0.1158
0.16,0.73,0.01,0.04,99,1.7973,1.4775,0.0925,0.034
0.21,0.03,0.17,0.05,100,0,0,0.1284,0.1561
0.07,0.03,0.14,0.03,100,4.1811,1.9965,0.3896,0.1971
0.46,0.03,0.12,0.03,92,1.964,2.1038,0.2068,0.0849
0.01,0.03,0.04,0.04,100,0.8634,1.5965,0.1695,0.2075
0.04,0.02,0.35,0.12,100,0,0,0.16,0.1268
0.28,0.03,0.09,0.04,100,2.7005,1.2126,0.2005,0.1871
0.34,0.03,0.02,0.06,100,2.8104,2.779,0.0094,0.0991
0.21,0.41,0.17,0.06,99,1.3855,1.9844,0.1583,0.177
